Accession,n_Methods,Methods,PMIDs
SRR25741798,1,Crespo & Del Sol,23873656
SRR25741799,1,Crespo & Del Sol,23873656
SRR25741800,1,Crespo & Del Sol,23873656
SRR25741801,1,Crespo & Del Sol,23873656
SRR25741802,1,Crespo & Del Sol,23873656
SRR25741803,1,Crespo & Del Sol,23873656
SRR25741804,1,Crespo & Del Sol,23873656
SRR25741805,1,Crespo & Del Sol,23873656
SRR25741806,1,Crespo & Del Sol,23873656
SRR25741807,1,Crespo & Del Sol,23873656
SRR25741808,1,Crespo & Del Sol,23873656
SRR25741809,1,Crespo & Del Sol,23873656
SRR25741810,1,Crespo & Del Sol,23873656
SRR25741811,1,Crespo & Del Sol,23873656
SRR25741812,1,Crespo & Del Sol,23873656
SRR25741813,1,Crespo & Del Sol,23873656
SRR25741814,1,Crespo & Del Sol,23873656
SRR25741815,1,Crespo & Del Sol,23873656
SRR25741816,1,Crespo & Del Sol,23873656
SRR25741817,1,Crespo & Del Sol,23873656
SRR25741818,1,Crespo & Del Sol,23873656
SRR25741819,1,Crespo & Del Sol,23873656
SRR31554709,1,Crespo & Del Sol,23873656
SRR31554710,1,Crespo & Del Sol,23873656
SRR5352539,1,Crespo & Del Sol,23873656
SRR5352540,1,Crespo & Del Sol,23873656
SRR5352541,1,Crespo & Del Sol,23873656
SRR5352542,1,Crespo & Del Sol,23873656
SRR5352543,1,Crespo & Del Sol,23873656
SRR5352544,1,Crespo & Del Sol,23873656
SRR5352545,1,Crespo & Del Sol,23873656
SRR5352546,1,Crespo & Del Sol,23873656
SRR5352547,1,Crespo & Del Sol,23873656
SRR5352548,1,Crespo & Del Sol,23873656
SRR5352549,1,Crespo & Del Sol,23873656
SRR5352550,1,Crespo & Del Sol,23873656
SRR5352551,1,Crespo & Del Sol,23873656
SRR5352552,1,Crespo & Del Sol,23873656
SRR5352553,1,Crespo & Del Sol,23873656
SRR5352554,1,Crespo & Del Sol,23873656
SRR5352555,1,Crespo & Del Sol,23873656
SRR5352556,1,Crespo & Del Sol,23873656
SRR5352557,1,Crespo & Del Sol,23873656
SRR5352558,1,Crespo & Del Sol,23873656
SRR5352559,1,Crespo & Del Sol,23873656
SRR5352560,1,Crespo & Del Sol,23873656
SRR5352561,1,Crespo & Del Sol,23873656
SRR5352562,1,Crespo & Del Sol,23873656
SRR5352563,1,Crespo & Del Sol,23873656
SRR5352564,1,Crespo & Del Sol,23873656
SRR5352565,1,Crespo & Del Sol,23873656
SRR5352566,1,Crespo & Del Sol,23873656
SRR5352567,1,Crespo & Del Sol,23873656
SRR5352568,1,Crespo & Del Sol,23873656
SRR5352569,1,Crespo & Del Sol,23873656
SRR5352570,1,Crespo & Del Sol,23873656
SRR5352571,1,Crespo & Del Sol,23873656
SRR5352572,1,Crespo & Del Sol,23873656
SRR5352573,1,Crespo & Del Sol,23873656
SRR5352574,1,Crespo & Del Sol,23873656
SRR5352575,1,Crespo & Del Sol,23873656
SRR5352576,1,Crespo & Del Sol,23873656
SRR5352577,1,Crespo & Del Sol,23873656
SRR5352578,1,Crespo & Del Sol,23873656
SRR5352579,1,Crespo & Del Sol,23873656
SRR5352580,1,Crespo & Del Sol,23873656
SRR5352581,1,Crespo & Del Sol,23873656
SRR5352582,1,Crespo & Del Sol,23873656
SRR5352583,1,Crespo & Del Sol,23873656
SRR5352584,1,Crespo & Del Sol,23873656
SRR5352585,1,Crespo & Del Sol,23873656
SRR5352586,1,Crespo & Del Sol,23873656
SRR5352587,1,Crespo & Del Sol,23873656
SRR5352588,1,Crespo & Del Sol,23873656
SRR5352589,1,Crespo & Del Sol,23873656
SRR5352590,1,Crespo & Del Sol,23873656
SRR5352591,1,Crespo & Del Sol,23873656
SRR5352592,1,Crespo & Del Sol,23873656
SRR5352593,1,Crespo & Del Sol,23873656
SRR5352594,1,Crespo & Del Sol,23873656
SRR5352595,1,Crespo & Del Sol,23873656
SRR5352596,1,Crespo & Del Sol,23873656
SRR5352597,1,Crespo & Del Sol,23873656
SRR5352598,1,Crespo & Del Sol,23873656
SRR5352599,1,Crespo & Del Sol,23873656
SRR5352600,1,Crespo & Del Sol,23873656
SRR5352601,1,Crespo & Del Sol,23873656
SRR5352602,1,Crespo & Del Sol,23873656
SRR5352603,1,Crespo & Del Sol,23873656
SRR5352604,1,Crespo & Del Sol,23873656
SRR5352605,1,Crespo & Del Sol,23873656
SRR5352606,1,Crespo & Del Sol,23873656
SRR5352607,1,Crespo & Del Sol,23873656
SRR5352608,1,Crespo & Del Sol,23873656
SRR5352609,1,Crespo & Del Sol,23873656
SRR5352610,1,Crespo & Del Sol,23873656
SRR5352611,1,Crespo & Del Sol,23873656
SRR5352612,1,Crespo & Del Sol,23873656
SRR5352613,1,Crespo & Del Sol,23873656
SRR5352614,1,Crespo & Del Sol,23873656
SRR5352615,1,Crespo & Del Sol,23873656
SRR5352616,1,Crespo & Del Sol,23873656
SRR5352617,1,Crespo & Del Sol,23873656
SRR5352618,1,Crespo & Del Sol,23873656
SRR5352619,1,Crespo & Del Sol,23873656
SRR5352620,1,Crespo & Del Sol,23873656
SRR5352621,1,Crespo & Del Sol,23873656
SRR5352622,1,Crespo & Del Sol,23873656
SRR5352623,1,Crespo & Del Sol,23873656
SRR5352624,1,Crespo & Del Sol,23873656
SRR5352625,1,Crespo & Del Sol,23873656
SRR5352626,1,Crespo & Del Sol,23873656
SRR5352627,1,Crespo & Del Sol,23873656
SRR5352628,1,Crespo & Del Sol,23873656
SRR5352629,1,Crespo & Del Sol,23873656
SRR5352630,1,Crespo & Del Sol,23873656
SRR5352631,1,Crespo & Del Sol,23873656
SRR5352632,1,Crespo & Del Sol,23873656
SRR5352633,1,Crespo & Del Sol,23873656
SRR5352634,1,Crespo & Del Sol,23873656
SRR5352635,1,Crespo & Del Sol,23873656
SRR5352636,1,Crespo & Del Sol,23873656
SRR5352637,1,Crespo & Del Sol,23873656
SRR5352638,1,Crespo & Del Sol,23873656
SRR5352639,1,Crespo & Del Sol,23873656
SRR5352640,1,Crespo & Del Sol,23873656
SRR5352641,1,Crespo & Del Sol,23873656
SRR5352642,1,Crespo & Del Sol,23873656
SRR5352643,1,Crespo & Del Sol,23873656
SRR5352644,1,Crespo & Del Sol,23873656
SRR5352645,1,Crespo & Del Sol,23873656
SRR5352646,1,Crespo & Del Sol,23873656
SRR5352647,1,Crespo & Del Sol,23873656
SRR5352648,1,Crespo & Del Sol,23873656
SRR5352649,1,Crespo & Del Sol,23873656
SRR5352650,1,Crespo & Del Sol,23873656
SRR5352651,1,Crespo & Del Sol,23873656
SRR5352652,1,Crespo & Del Sol,23873656
SRR5352653,1,Crespo & Del Sol,23873656
SRR5352654,1,Crespo & Del Sol,23873656
SRR5352655,1,Crespo & Del Sol,23873656
SRR5352656,1,Crespo & Del Sol,23873656
SRR5352657,1,Crespo & Del Sol,23873656
SRR5352658,1,Crespo & Del Sol,23873656
SRR5352659,1,Crespo & Del Sol,23873656
SRR5352660,1,Crespo & Del Sol,23873656
SRR5352661,1,Crespo & Del Sol,23873656
SRR5352662,1,Crespo & Del Sol,23873656
SRR5352663,1,Crespo & Del Sol,23873656
SRR5352664,1,Crespo & Del Sol,23873656
SRR5352665,1,Crespo & Del Sol,23873656
SRR5352666,1,Crespo & Del Sol,23873656
SRR5352667,1,Crespo & Del Sol,23873656
SRR5352668,1,Crespo & Del Sol,23873656
SRR5352669,1,Crespo & Del Sol,23873656
SRR5352670,1,Crespo & Del Sol,23873656
SRR5352671,1,Crespo & Del Sol,23873656
SRR5352672,1,Crespo & Del Sol,23873656
SRR5352673,1,Crespo & Del Sol,23873656
SRR5352674,1,Crespo & Del Sol,23873656
SRR5352675,1,Crespo & Del Sol,23873656
SRR5352676,1,Crespo & Del Sol,23873656
SRR5352677,1,Crespo & Del Sol,23873656
SRR5352678,1,Crespo & Del Sol,23873656
